W,RES,TEACH,SERV,SOC,MB,STR,IDLE,MISC,DESI
1, 4.00, 2.50, 4.50, 7.0, 7.0, 8.75, 21.0, -1.0, 0.0
2, 4.50, 4.0, 8.50, 7.0, 5.0, 10.50, 5.50, -1.0, 0.0
3, 8.75, 19.25, 9.25, 8.0, 2.25, 7.75, 4.50, -1.0, 0.0
4, 14.75, 18.00, 12.50, 8.50, 5.0, 8.75, 3.50, -1.0, 3.00
5, 16.00, 20.00, 9.50, 7.00, 6.00, 7.50, 5.50, -1.0, 2.50
6, 18.00, 20.00, 13.25, 7.50, 7.25, 8.25, 4.25, -1.0, 0.00
7, 16.00, 24.00, 9.50, 5.00, 6.50, 9.0, 4.00, -1.0, 6.00
8, 18.00, 20.00, 5.00, 6.50, 5.50, 6.50, 4.00, -1.0, 2.00
9, 15.25, 18.00, 17.25, 5.0, 5.75, 6.00, 3.50, -1.0, 2.00
10, 13.50, 18.00, 19.75, 5.00, 4.25, 8.50, 5.00, -1.0, 6.00
11, 13.25, 17.50, 31.50, 3.00, 6.75, 6.00, 2.50, -1.0, 1.50
12, 17.00, 15.00, 19.50, 6.50, 2.25, 4.75, 5.25, -1.0, 1.00
13, 16.00, 1.75, 11.0, 10.00, 3.50, 13.00, 6.00, -1.0, 7.00
14, 22.00, 11.00, 10.50, 14.00, 5.50, 7.50, 2.50, -1.0, 5.50
15, 20.50, 12.50, 9.00, 9.00, 6.75, 8.75, 2.50, -1.00, 0.00
16, 21.75, 15.0, 9.50, 5.0, 7.00, 6.00, 5.00, -1.00, 5.50
17, 16.00, 18.50, 8.25, 8.00, 6.50, 5.50, 7.25, -1.00, 3.50
18, 16.00, 16.00, 7.00, 13.00, 5.50, 12.00, 5.00, -1.00, 11.00
19, 17.50, 11.50, 13.00, 9.00, 5.25, 6.25, 11.0, -1.00, 5.00
20, 8.50, 22.00, 17.50, 0.00, 6.50, 8.75, 10.0, -1.00, 0.00
21, 20.00, 1.00, 0.15, 7.00, 1.00, 1.25, 7.00, -1.00, 17.50
22, 5.50, 24.00, 3.00, 2.50, 6.00, 5.50, 6.00, -1.00, 0.00
23, 9.00, 18.50, 1.00, 0.00, 10.14, 10.25, 9.75, -1.00, 3.50
24, 11.00, 10.00, 12.50, 2.00, 6.25, 8.75, 11.00, -1.00, 6.00
25, 4.25, 20.50, 12.00, 5.50, 3.00, 6.00, 7.25, -1.00, 1.00
26, 1.50, 0.00, 10.00, 20.00, 4.25, 0.00, 2.00, -1.00, 1.00
27, 0.00, 0.00, 0.00, 60.00, 0.00, 0.00, 1.00, -1.00, 0.00
28, 28.25, 0.0, 0.0, 3.00, 3.75, 5.25, 11.00, -1.00, 19.00
29, 25.00, 0.00, 1.00, 8.00, 1.25, 12.25, 12.00, -1.00, 25.00
30, 0.25, 9.00, 39.00, 25.50, 7.50, 6.50, 2.75, -1.00, 0.00
31, 5.50, 9.75, 9.00, 32.50, 2.25, 11.50, 2.50, -1.00, 0.50
32, 8.50, 16.25, 10.50, 15.75, 4.25, 12.25, 8.75, -1.00, 2.25
33, 17.50, 14.50, 3.00, 30.50, 5.50, 7.50, 7.00, -1.00, 1.50
34, 13.50, 18.50, 8.75, 18.00, 4.40, 8.50, 3.00, -1.00, 1.50
35, 11.00, 19.00, 6.25, 19.00, 7.00, 9.50, 3.00, -1.00, 4.00
36, 21.50, 12.00, 10.00, 3.00, 8.25, 8.25, 3.00, -1.00, 8.00
37, 11.25, 17.50, 9.50, 16.50, 5.00, 7.00, 6.00, -1.00, 1.00
38, 5.50, 0.25, 4.50, 9.50, 1.00, 1.00, 40.00, -1.00, 1.75
39, 3.50, 10.50, 4.25, 1.50, 0.25, 7.00, 12.00, -1.00, 0.00
40, 10.00, 10.00, 10.00, 11.00, 4.00, 7.00, 6.00, -1.00, 5.50
41, 12.0, 15.50, 10.00, 13.00, 2.50, 3.50, 10.00, -1.00 ,5.00
42, 15.00, 15.00, 3.25, 15.00, 3.50, 5.00, 4.00, -1.00, 0.00
43, 32.50, 1.0, 5.00, 7.00, 0.50, 6.00, 13.50, -1.00, 31.50
44, 26.0, 0.75, 0.00, 9.00, 0.75, 8.00, 25.00, -1.00, 26.00
45, 16.00, 17.00, 7.50, 7.00, 4.0, 4.00, 17.00, -1.00, 7.00
46, 5.25, 7.25, 14.25, 18.00, 5.50, 6.00, 14.00, -1.0, 1.00
47, 0.00, 11.25, 13.00, 31.00, 2.00, 8.00, 10.00, -1.00, 0.00
48, 0.00, 16.50, 0.00, 40.00, 0.50, 7.00, 10.00 ,-1.00, 0.00
49, 3.00, 2.25, 2.25, 19.00,  2.25, 10.00, 23.00, -1.00, 3.00
50, 26.00, 0.00, 4.50, 10.00, 0.00, 3.50, 21.50, -1.00, 6.00





















