# W, RES, TEACH, SERV, SOC, MB, STR, IDLE, MISC
1, 12.75, 0.0, 0.0, 10.0, 11.50, 6.75, 21.0, 35.50
2, 0.25, 3.0, 2.50, 41.0, 4.0, 2.25, 25.75, 29.50
3, 5.0, 20.0, 9.0, 20.50, 8.50, 8.0, 4.25, 33.75
4, 15.0, 17.0, 8.0, 6.50, 4.25, 5.0, 5.0, 36.00
5, 13.25, 15.0, 16.25, 13.0, 9.0, 5.0, 11.0, 31.0
6, 11.50, 14.25, 4.25, 18.50, 5.0, 8.0, 11.0, 29.0
7, 14.0, 12.50, 8.0, 15.0, 8.0, 5.50, 19.0, 36.0
8, 18.0, 15.0, 3.50, 17.50, 4.25, 7.0, 4.75, 45.0
9, 1.0, 4.25, 26.0, 21.0, 1.25, 1.25, 11.75, 50.0
10, 7.0, 11.75, 3.25, 22.50, 3.50, 10.50, 6.50, 48.0
11, 39.0, 1.75, 3.75, 20.25, 1.0, 3.75, 12.25, 28.50
12, 1.0, 0.0, 0.0, 66.25, 1.75, 6.50, 6.50, 31.0
13, 11.50, 20.0, 6.75, 33.50, 3.50, 7.25, 4.25, 31.50
14, 20.0, 15.0, 34.0, 16.50, 0.75, 5.25, 4.0, 22.0
15, 29.50, 12.0, 3.50, 33.0, 2.50, 9.25, 3.50, 22.0
16, 12.0, 13.50, 5.0, 15.0, 5.50, 8.50, 23.0, 29.0
17, 14.0, 13.0, 8.50, 15.50, 2.0, 15.50, 3.0, 36.0
18, 18.75, 15.25, 2.50, 15.50, 3.50, 7.50, 8.50, 35.50
19, 11.25, 10.50, 1.0, 13.50, 4.50, 8.25, 15.25, 39.50
20, 2.00, 0.0, 29.25, 16.75, 3.50, 7.25, 9.50, 35.0
21, 11.0, 9.0, 11.0, 16.0, 6.0, 8.0, 7.50, 34.50
22, 18.0, 2.0, 6.75, 20.0, 8.0, 10.25, 3.0, 35.0
23, 23.0, 0.0, 3.75, 20.0, 6.25, 10.0, 7.5, 36.0
24, 14.0, 4.25, 1.50, 15.50, 6.50, 17.50, 2.25, 44.75
25, 27.0, 0.0, 0.0, 16.75, 1.25, 3.0, 15.0, 46.50
26, 14.75, 0.0, 3.25, 16.50, 7.0, 10.50, 5.75, 58.0
27, 16.0, 0.0, 0.0, 16.0, 2.0, 14.0, 6.0, 45.0
28, 13.0, 0.0, 5.75, 7.0, 4.0, 20.0, 4.0, 51.0
29, 3.0, 1.25, 1.75, 36.0, 3.25, 12.50, 5.0, 53.0
30, 39.0, 2.0, 3.50, 7.25, 3.0, 3.0, 6.0, 47.0
31, 4.0, 26.0, 6.50, 2.0, 4.0, 11.0, 8.0, 37.0
32, 21.0, 15.0, 6.50, 7.0, 5.0, 5.25, 4.0, 40.0
33, 31.0, 20.0, 1.0, 12.0, 3.0, 5.0, 5.0, 36.0
34, 17.0, 20.0, 1.0, 6.50, 4.0, 5.50, 2.50, 46.0
35, 15.25, 15.75, 6.50, 12.50, 3.75, 10.0, 6.0, 36.0
36, 11.0, 17.0, 3.50, 13.0, 4.0, 10.0, 6.0, 42.0
37, 16.0, 24.50, 4.50, 7.0, 5.0, 10.50, 0.75, 43.0
38, 21.0, 25.0, 2.0, 2.0, 10.50, 17.0, 3.0, 41.0
39, 15.0, 1.0, 7.0, 13.0, 4.0, 35.0, 4.0, 34.0
40, 8.0, 0.0, 37.0, 52.0, 0.0, 5.0, 0.0, 23.0
41, 15.0, 11.50, 0.0, 12.0, 7.0, 15.0, 1.0, 41.0
42, 9.50, 13.50, 0.0, 18.0, 7.50, 18.0, 6.0, 29.50
43, 17.0, 16.0, 1.0, 15.0, 2.0, 18.0, 5.0, 40.0
44, 17.0, 13.0, 13.0, 12.50, 5.50, 11.0, 5.0, 29.0
45, 17.50, 9.0, 3.0, 14.0, 6.0, 14.50, 9.0, 37.0
