#  W,   RES,  TEACH, SERV,  SOC,  MB,  STR,  IDLE, MISC, DESI
4, 	15.0,  13.0,  7.0,  1.0,  7.0, 13.0, 16.0, 34.0, 4.0
5, 14.0, 10.0, 4.0, 11.0, 5.0, 8.0, 11.0, 38.0,  8.0
6, 21.0, 13.0, 7.0, 4.0, 4.0, 6.0, 13.0, 37.0, 4.0
7, 16.0, 13.0, 2.0, 2.0, 4.0, 10.0, 15.0, 40.0, 1.0
8, 13.0, 11.0, 5.0, 17.0, 5.0, 5.0, 11.0, 39.0, 2.0
9, 24.0, 11.0, 0.0, 7.0, 3.0, 5.0, 15.0, 38.0, 2.0
10, 19.0, 15.0, 6.0, 8.0, 6.0, 6.0, 6.0, 38.0, 1.0
11, 16.0, 14.0, 2.0, 13.0, 6.0, 6.0, 8.0, 36.0, 11.0
12, 11.0, 14.0, 5.0, 24.0, 4.0, 8.0, 2.0, 38.0, 5.0

