W,   RES,  TEACH, SERV,  SOC,  MB,  STR,  IDLE, MISC, DESI
3, 8, 3, 6, 17, 6, 12, 12, 37, 5
4, 12, 12, 5, 0, 4, 5, 16, 40, 3
5, 20, 10, 8, 5, 4, 9, 7, 36, 8
6, 16, 11, 10, 7, 6, 0, 4, 38, 7
7, 19, 14, 3, 20, 5, 7, 3, 34, 4
8, 22, 10, 6, 19, 6, 7, 4, 25, 11
9, 20, 12, 10, 10, 10, 6, 8, 39, 9
10, 24, 15, 5, 5, 6, 5, 5, 41, 10
11, 21, 9, 7, 5, 4, 5, 11, 42, 16
12, 9, 9, 3, 3, 4, 15, 42, 17, 4
13, 13, 21, 1, 5, 8, 7, 12, 38, 8
14, 18, 18, 1, 3, 9, 3, 14, 39, 7
15, 13, 4, 1, 9, 8, 7, 17, 39, 6
16, 16, 14, 2, 15, 3, 6, 15, 33, 9
17, 13, 11, 6, 32, 3, 2, 18, 23, 10
18, 14, 7, 12, 25, 2, 4, 14, 29, 5
19, 20, 17, 3, 23, 4, 3, 7, 32, 11
20, 15, 14, 3, 28, 6, 1, 14, 23, 8
21, 14, 11, 0, 25, 4, 12, 14, 21, 6
22, 13, 0, 3, 31, 4, 2, 21, 28, 8
23, 8, 3, 2, 42, 3, 5, 16, 20, 6
24, 15, 1, 9, 36, 6, 10, 12, 17, 7
25, 17, 0, 2, 29, 5, 7, 16, 30, 2
26, 30, 2, 7, 3, 7, 7, 17, 32, 3
27, 17, 4, 12, 8, 6, 10, 18, 29, 10
28, 25, 3, 4, 16, 8, 9, 10, 28, 16
29, 14, 25, 0, 19, 3, 5, 11, 32, 5
30, 16, 21, 6, 12, 3, 7, 12, 23, 4
31, 6, 0, 1, 33, 6, 11, 17, 34, 3
32, 11, 7, 6, 20, 5, 11, 20, 25, 0
33, 18, 19, 1, 27, 5, 4, 7, 22, 4
34, 20, 13, 1, 12, 7, 13, 14, 29, 2
35, 20, 20, 2, 15, 5, 14, 6, 21, 0
36, 11, 15, 9, 17, 6, 10, 3, 31, 1
37, 16, 18, 11, 20, 8, 5, 9, 32, 9
38, 18, 14, 0, 27, 7, 18, 5, 25, 8
39, 15, 15, 2, 36, 3, 7, 7, 20, 9
40, 12, 7, 1, 35, 7, 10, 12, 20, 10
41, 15, 1, 0, 33, 4, 9, 11, 30, 2
42, 9, 11, 2, 35, 2, 16, 6, 20, 4
43, 16, 12, 3, 49, 3, 5, 5, 10, 10
44, 12, 8, 3, 30, 5, 17, 8, 32, 11
45, 20, 13, 0, 31, 6, 6, 4, 26, 16
46, 16, 10, 3, 28, 5, 12, 7, 22, 12
47, 22, 8, 0, 40, 4, 10, 8, 10, 20
48, 25, 8, 0, 35, 5, 3, 9, 24, 17
49, 22, 2, 7, 38, 5, 7, 3, 19, 22
50, 40, 2, 1, 30, 5, 7, 5, 14, 35
51, 19, 2, 6, 52, 4, 8, 2, 10, 14
52, 5, 1, 1, 80, 4, 7, 2, 6, 5
