W, FAM, BUS, RES,  TEACH, SERV,  SOC,  MB,  STR,  IDLE, MISC, DESI, INTER
36, 32, 12, 13, 10, 3, 2, 8, 6, 4, 20, 11, 0
35, 31, 16, 7, 14, 2, 0, 4, 11, 2, 21, 4, 0
34, 45, 12, 12, 0, 0, 0, 4, 15, 4, 16, 0, 0
33, 60, 10, 3, 0, 0, 0, 2, 17, 4, 12, 0, 0
32, 94, 0, 1, 6, 2, 0, 3, 10, 0, 15, 0, 0
31, 29, 2, 9, 5, 1, 1, 7, 21, 8, 32, 2, 3 
1, 14, 0, 1, 0, 0, 15, 2, 10, 23, 37, 11, 2
2, 2, 24, 11, 0, 1, 3, 14, 12, 17, 23, 10, 0
3, 17, 19, 9, 0, 0, 0, 16, 13, 8, 26, 7, 3
4, 34, 13, 15, 10, 0, 0, 8, 6, 5, 10, 8, 2
5, 32, 13, 20, 8, 2, 1, 6, 8, 3, 15, 16, 3
6, 30, 12, 20, 9, 3, 2, 10, 12, 2, 7, 16, 3
7, 33, 12, 16, 10, 2, 6, 5, 7, 4, 12, 13, 2
8, 39, 5, 16, 7, 6, 12, 5, 8, 1, 5, 8, 2
9, 37, 12, 19, 7, 1, 4, 6, 7, 2, 12, 12, 2
10, 36, 10, 25, 9, 1, 2, 5, 3, 2, 20, 18, 1
11, 17, 13, 18, 10, 3, 9, 5, 12, 2, 12, 11, 3
12, 28, 14, 20, 0, 1, 8, 7, 10, 2, 16, 18, 2
13, 66, 2, 0, 0, 0, 0, 1, 27, 0, 3, 0, 3
14, 22, 12, 16, 14, 4, 3, 10, 10, 4, 13, 11, 2
15, 33, 17, 14, 10, 3, 0, 7, 4, 2, 12, 13, 4
16, 27, 10, 17, 12, 0, 7, 7, 9, 2, 13, 16, 0
17, 29, 5, 10, 7, 1, 3, 7, 15, 6, 17, 8, 1
18, 24, 5, 9, 6, 4, 2, 6, 7, 15, 26, 5, 0
19, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 30, 15, 0, 12, 0, 0, 3, 12, 6, 12, 0, 2
21, 16, 11, 6, 12, 5, 3, 9, 11, 13, 18, 2, 1
22, 21, 6, 4, 2, 8, 0, 12, 21, 13, 23, 0, 2
23, 24, 1, 0, 0, 0, 4, 4, 50, 1, 18, 0, 2
24, 34, 3, 9, 0, 0, 0, 15, 19, 7, 18, 5, 1
25, 25, 8, 4, 0, 5, 2, 10, 12, 7, 30, 1, 1
26, 55, 1, 1, 0, 4, 1, 6, 19, 5, 13, 1, 1
27, 27, 7, 4, 0, 0, 0, 3, 28, 6, 23, 1, 1
28, 22, 12, 10, 0, 1, 4, 10, 15, 8, 24, 1, 1
29, 25, 9, 11, 0, 0, 1, 9, 17, 12, 15, 5, 1
30, 25, 6, 10, 1, 1, 10, 10, 15, 9, 21, 4, 0
