W,FAM,BUS,RES,TEACH,SERV,SOC,MB,STR,IDLE,MISC,DESI
1,80,2,0,0,0,0,8,6,4,3,0
2,50,2,4,0,2,0,9,16,4,15,4
3,42,6,15,4,2,1,6,7,4,17,13
4,32,6,15,12,0,0,7,7,4,20,28
5,32,2,16,10,3,0,4,9,2,28,10
6,47,1,12,10,2,0,4,10,1,19,5
7,50,3,12,10,0,0,5,9,1,10,10
8,51,2,10,10,3,0,7,9,2,16,10
9,42,2,14,10,3,0,10,10,1,14,11
10,44,1,10,10,6,0,10,11,1,14,10
11,55,3,20,6,1,0,6,6,2,12,19
12,73,2,2,0,3,2,6,9,0,10,2
13,27,7,9,12,6,13,6,8,1,18,9
14,33,8,12,4,0,13,6,9,2,19,10
15,68,11,3,0,2,0,6,12,1,4,1
16,47,4,13,3,4,1,9,15,2,16,10
17,48,14,10,8,1,0,5,7,3,19,9
18,48,11,9,6,4,0,6,8,2,17,9
19,46,4,12,7,4,0,4,13,1,16,11
20,48,2,8,9,3,4,3,11,1,16,7
21,76,0,22,0,0,0,0,4,0,0,20
22,58,0,3,10,0,0,0,13,4,13,2
23,54,3,10,2,1,2,6,10,3,15,9
24,55,6,12,1,3,0,7,6,3,12,11
25,55,4,21,0,1,0,6,5,4,10,20
26,56,0,14,0,2,0,6,10,1,19,10
27,48,5,7,0,7,0,4,19,5,11,6
28,60,2,14,0,1,0,9,10,5,10,11
29,52,4,16,2,1,0,7,20,4,8,14
30,56,8,15,1,3,0,8,5,4,14,9
31,55,5,9,7,0,0,9,18,2,12,5
32,55,2,12,12,0,0,6,10,2,14,7
33,55,2,11,12,0,9,4,9,1,12,6
34,52,2,16,13,0,3,8,6,1,16,4
35,64,2,12,12,0,0,4,9,2,10,5

