W,FAM,MISC,RES,TEACH,STR,MB,SERV,BUS,SOC,IDLE,DESI
3,55.00,14.75,5.00,2.50,7.25,7.50,0.00,2.00,7.50,2.75,0.00
4,55.50,15.75,14.00,7.00,11.00,8.25,0.00,0.00,0.25,1.25,0.00
5,52.00,20.25,17.00,6.50,5.25,7.75,1.50,2.25,0.75,0.75,13.75
6,58.50,18.50,12.25,6.25,6.25,7.25,0.00,2.50,2.50,2.00,5.50
7,69.75,15.25,2.25,6.25,5.25,5.50,0.00,3.50,0.25,6.00,2.25
8,52.00,16.75,5.00,9.75,12.50,2.75,0.00,1.50,4.00,3.50,2.25
9,48.75,15.00,17.75,9.25,5.25,5.50,0.00,1.00,0.00,2.50,11.50
10,46.00,19.25,16.00,8.25,3.75,4.75,2.75,0.75,0.75,4.25,9.50
11,48.50,15.00,14.50,9.75,7.50,6.50,0.75,2.75,0.00,1.75,4.00
12,60.50,11.50,13.75,1.50,6.25,2.50,0.00,1.75,1.75,2.50,10.50
13,40.25,18.00,25.25,8.75,6.50,3.25,0.75,4.75,0.00,4.00,19.50
15,37.50,20.00,8.75,6.50,16.25,5.25,2.50,6.50,3.00,4.75,3.50
16,40.75,17.00,14.00,8.25,8.75,2.25,3.00,1.50,0.50,4.00,7.75
17,43.00,18.25,8.75,14.25,9.25,2.25,1.00,0.25,0.25,5.50,8.75
18,47.75,22.50,6.50,8.00,7.25,3.00,5.00,3.75,0.00,7.25,4.75
19,46.75,19.75,14.00,6.25,2.75,1.75,2.75,2.25,6.50,3.25,7.75
20,55.25,17.25,9.25,10.00,2.25,6.50,0.50,3.50,0.00,3.50,7.75
21,55.75,14.00,12.25,11.75,7.75,4.25,0.25,0.75,0.00,2.25,10.50
22,48.25,16.50,15.00,10.25,8.50,3.75,1.00,0.75,0.00,3.00,7.75
23,50.25,18.00,17.50,4.25,7.25,3.50,1.00,1.50,0.00,0.75,17.25
24,47.50,17.25,17.25,0.00,8.75,3.50,1.50,2.50,0.00,5.25,15.50
25,14.00,22.75,3.50,0.00,36.75,13.50,8.00,0.25,0.00,17.25,0.00
26,58.50,18.25,8.00,0.00,8.25,3.00,3.00,4.25,0.00,4.75,5.25
27,66.25,16.00,2.00,0.00,12.50,8.50,1.75,2.00,0.00,3.00,0.00
28,54.00,23.25,5.50,5.00,8.25,4.50,4.25,1.50,0.00,2.75,4.25
29,61.75,14.50,0.00,0.00,7.00,6.25,9.50,0.50,0.00,2.50,0.00
30,60.50,16.25,1.50,0.00,17.50,2.50,2.75,2.50,0.00,2.50,0.00
31,44.50,24.50,6.50,4.50,9.50,10.25,1.25,1.00,2.50,6.50,5.75
32,62.75,15.50,4.75,9.25,12.00,6.00,2.00,1.25,0.00,2.00,3.00
33,55.25,17.25,9.25,10.00,2.25,6.50,0.50,3.50,0.00,3.50,7.75
34,63.25,13.00,7.50,6.00,8.75,4.25,5.75,0.50,2.00,1.50,7.00
35,35.25,26.75,12.00,7.00,14.25,10.50,1.50,0.50,3.25,2.50,10.50
36,50.75,22.00,11.50,6.25,7.50,12.75,0.75,0.75,0.00,6.75,11.25
37,58.50,26.00,3.75,0.75,12.50,2.50,6.50,0.25,0.00,1.25,3.75
38,55.25,17.25,9.25,10.00,2.25,6.50,0.50,3.50,0.00,3.50,7.75
39,49.50,21.50,14.00,6.75,7.00,4.00,2.50,0.50,0.00,2.25,10.00
40,61.25,9.00,7.75,0.50,19.75,1.75,0.25,0.25,0.00,0.50,5.00
42,62.50,17.00,12.75,7.50,6.25,3.25,0.00,0.25,0.00,2.50,4.00
43,33.50,19.75,14.25,6.75,7.50,5.00,6.25,2.75,3.00,3.00,8.50
44,44.75,21.25,17.25,7.50,6.75,3.00,5.00,0.00,0.00,2.50,7.75
45,41.50,23.00,20.25,7.75,7.25,5.50,0.75,0.50,0.50,1.00,14.75
46,57.50,15.75,11.00,10.25,4.50,4.75,1.50,3.25,0.00,3.50,8.00
47,90.00,5.50,3.50,3.50,3.00,0.00,0.50,0.00,0.00,0.00,0.00
48,18.00,51.25,3.00,1.50,7.25,1.00,0.00,0.00,28.00,0.00,0.00
49,53.50,20.25,11.25,8.50,3.50,4.25,3.50,0.25,0.00,0.00,7.25
50,72.00,9.50,5.00,1.00,9.75,4.25,0.00,0.00,2.50,0.00,4.50
51,68.00,15.25,7.75,0.00,5.25,6.25,1.00,0.50,0.00,1.00,4.25
52,90.50,7.25,0.00,0.00,3.00,6.25,0.00,0.00,0.00,0.00,0.00
