,W,FAM,MISC,RES,TEACH,STR,MB,SERV,BUS,SOC,IDLE,DESI
,3,58.00,13.00,21.75,0.00,14.75,3.50,0.00,0.00,0.00,1.00,17.75
,4,67.25,11.00,14.50,0.00,3.75,6.25,0.00,0.00,0.00,2.25,11.25
,5,72.75,11.75,7.75,0.00,7.00,8.75,1.25,0.00,0.25,2.25,3.00
,6,42.25,13.50,13.25,0.00,4.75,6.25,15.25,0.50,2.00,4.25,2.00
,7,59.50,14.25,7.50,0.00,7.00,6.00,10.50,0.00,0.00,2.75,5.00
,8,55.00,15.00,7.75,0.00,11.00,13.25,9.75,0.00,0.00,1.00,4.00
,9,48.00,14.75,19.75,0.00,6.50,13.25,0.50,0.25,0.00,0.00,6.00
,10,61.25,11.50,13.50,0.00,7.25,7.00,3.25,0.00,0.00,2.25,5.00
,11,52.25,17.50,12.75,0.00,5.50,11.25,2.00,0.50,0.00,5.50,12.50
,12,55.00,13.00,3.50,0.00,11.25,12.25,7.25,0.00,0.00,2.75,3.50
,13,63.00,11.75,8.50,0.00,6.50,13.75,0.00,0.00,6.00,4.25,8.25
,14,53.00,14.50,18.25,0.00,5.50,8.75,3.75,2.25,0.00,3.00,15.50
,15,43.50,17.50,17.50,0.00,4.25,14.75,6.00,2.25,0.00,5.25,11.25
,16,52.00,13.00,11.50,0.00,3.75,15.00,6.75,0.00,2.50,3.00,11.25
,17,64.00,10.50,8.50,0.00,4.50,4.50,16.00,0.50,0.00,0.50,8.50
,18,47.50,10.25,6.25,0.00,2.50,12.50,25.50,1.00,0.00,2.00,4.50
,19,64.75,4.50,5.75,0.00,1.75,2.50,25.50,0.50,0.00,1.75,3.25
,20,59.25,12.50,6.75,0.00,0.25,2.25,26.25,0.00,0.00,0.00,2.25
,21,49.50,14.50,2.25,0.00,7.75,4.25,19.00,0.00,0.00,0.00,0.00
,22,52.00,14.25,4.50,0.00,5.50,5.25,18.00,0.00,0.00,5.50,4.50
,23,72.25,9.75,2.75,0.00,5.75,6.00,8.50,0.00,0.00,0.50,1.25
,24,46.50,14.00,10.50,0.00,8.50,3.25,8.50,0.00,0.00,8.00,10.25
,25,0.00,33.25,5.25,0.00,24.50,16.00,17.75,0.00,0.00,17.50,2.00
,26,66.50,9.50,1.75,0.00,5.75,9.25,17.00,0.00,0.00,0.00,0.00
,27,64.75,13.50,5.00,0.00,9.75,8.00,4.50,0.00,0.00,2.00,3.50
,28,79.00,11.25,1.00,0.00,7.75,3.50,4.25,0.00,0.00,0.50,1.00
,29,35.00,21.75,8.25,0.00,9.00,27.00,6.75,0.00,0.00,1.25,4.25
,30,70.50,8.00,2.50,0.00,7.50,14.25,12.50,0.00,0.00,0.00,1.00
,31,60.50,14.25,2.25,4.00,9.75,5.25,6.00,0.00,0.00,3.00,1.00
,32,44.25,13.25,14.50,13.00,9.00,8.00,5.50,0.00,0.00,1.75,9.50
,33,51.00,16.25,7.50,11.00,7.00,6.25,7.25,0.00,0.00,2.75,6.50
,34,40.50,20.00,10.75,6.25,6.50,12.50,6.50,0.00,0.00,4.00,10.75
,35,36.00,20.50,5.00,10.00,5.00,20.00,7.50,0.00,0.00,2.25,3.00
,36,50.25,13.75,12.25,9.25,6.50,6.25,2.50,0.00,1.50,6.00,5.50
,37,39.00,19.50,2.50,9.25,8.00,15.50,6.50,0.00,1.00,2.25,1.00
,38,39.25,17.75,7.25,10.75,4.50,15.75,0.75,0.00,1.25,1.00,3.00
,39,47.25,19.50,0.50,9.00,5.50,11.00,7.25,0.00,0.00,1.25,0.00
,40,58.50,19.00,4.50,0.50,2.25,6.00,9.00,0.00,0.00,1.00,2.50
,41,55.00,16.25,0.00,11.25,1.75,3.50,21.50,0.00,2.00,0.75,0.00
,42,56.25,17.75,2.75,10.50,7.25,6.00,1.00,0.00,0.00,6.50,2.75
,43,45.50,17.50,12.25,16.00,7.25,7.25,4.00,0.00,2.00,2.25,4.00
,44,50.50,18.00,9.50,11.25,3.00,6.25,1.50,0.00,0.00,4.50,6.75
,45,54.50,13.00,11.00,9.00,5.75,3.50,4.50,0.00,1.00,4.75,10.00
,46,53.50,15.00,4.75,5.50,10.00,4.25,9.50,0.00,0.00,0.75,4.25
,47,64.00,10.00,8.00,5.75,1.25,2.50,2.50,0.00,0.00,2.00,8.00
,48,44.75,23.50,3.50,10.25,2.50,4.25,9.75,0.00,0.75,2.75,1.00
,49,36.00,20.25,3.00,10.75,6.75,22.50,4.00,0.00,2.50,7.25,2.50
,50,43.00,20.00,0.00,4.50,2.00,14.00,18.00,0.00,2.00,5.50,0.00
,51,63.00,14.50,0.00,0.00,0.25,7.00,21.25,0.00,0.00,0.00,0.00
